+--------------+--------+------------+----------+-------+-------+-------+-------+-------+-------+-------+-------+-------+------+
|     行业     |  代码  |    名称    | 涨幅统计 |   9   |   8   |   7   |   6   |   5   |   4   |   3   |   2   |   1   |  0   |
|   工程机械   | 002204 |  大连重工  |  23.5%   |  9.9  | -9.9  | 10.0  |  1.2  | -3.4  | -3.7  | 10.0  | -9.6  | 10.1  | 10.0 |
|   交运设备   | 603529 |  爱玛科技  |  23.4%   |  3.5  |  2.1  | -6.6  |  5.3  | 10.0  | -1.4  |  0.4  |  4.8  |  9.0  | -4.7 |
|   电网设备   | 000533 |  顺钠股份  |  23.3%   | 10.0  | 10.0  | -9.8  |  1.2  | -3.8  | -4.9  | 10.1  | -1.2  |  1.9  | 10.1 |
|   纺织服装   | 002612 |  朗姿股份  |  23.3%   |  0.3  |  0.6  |  2.2  | -0.6  | -2.6  | 10.0  |  3.4  |  4.7  |  6.3  | -2.5 |
|   消费电子   | 300916 |  朗特智能  |  23.2%   | -0.3  | 14.4  | -3.7  | -5.5  | 14.9  |  2.1  |  2.9  | -4.6  |  6.4  | -3.2 |
|   专用设备   | 688700 |  东威科技  |  23.2%   | -3.8  |  2.0  |  0.2  |  3.2  |  5.5  |  0.8  | 13.9  | -1.8  |  2.8  | -0.8 |
|   通用设备   | 301063 |  海锅股份  |  23.1%   | -0.9  |  0.8  |  1.0  |  6.8  | 14.8  | -0.6  | -0.3  | -0.1  |  3.2  | -2.5 |
|   通用设备   | 002843 |  泰嘉股份  |  22.5%   |  1.2  | -2.3  |  5.2  |  0.4  | 10.0  | 10.0  |  2.1  | -0.5  | -4.1  | -0.6 |
|   消费电子   | 002866 |  传艺科技  |  22.5%   |  7.3  |  3.2  | -10.0 |  2.1  | -10.0 | 10.0  | 10.0  | 10.0  |  3.2  | -2.7 |
|   有色金属   | 603527 |  众源新材  |  22.4%   | -2.5  | -3.7  | -1.4  |  5.0  |  2.3  |  2.4  |  3.6  | 10.0  | 10.0  | -4.2 |
|   美容护理   | 300740 |  水羊股份  |  22.4%   |  0.1  | -1.8  | -3.6  |  0.2  |  0.5  | -0.6  | 20.0  |  1.0  |  7.6  | -1.0 |
|   电源设备   | 002534 |  西子洁能  |  22.2%   | -4.2  |  3.5  |  0.3  | -1.4  |  6.2  | -2.5  | 10.0  |  4.1  |  2.2  | 3.0  |
|    半导体    | 001270 |  铖昌科技  |  22.0%   | -1.3  | -7.4  |  3.5  | -3.7  |  1.3  |  5.6  |  3.3  | 10.0  | 10.0  | 0.2  |
|   有色金属   | 603876 |  鼎胜新材  |  21.8%   | -0.6  |  0.0  | -3.0  |  0.0  |  7.6  | 10.0  |  7.6  | -2.2  |  0.8  | 0.6  |
|   光伏设备   | 300827 |  上能电气  |  21.3%   | -6.7  | -2.0  |  0.5  |  7.2  | 16.5  | -4.8  | 16.4  |  1.5  | -1.8  | -4.3 |
|   贸易行业   | 301099 |  雅创电子  |  21.3%   |  0.2  |  5.9  | -4.5  |  2.8  | 11.1  | -0.1  |  4.4  | -4.1  |  0.2  | 4.7  |
|  汽车零部件  | 003033 |  征和工业  |  21.2%   | -0.2  | -0.6  | -2.4  |  1.5  |  3.0  |  3.8  |  4.0  | 10.0  | -2.9  | 3.8  |
|   专用设备   | 002209 |   达意隆   |  20.9%   |  2.1  |  3.4  | -2.5  |  1.7  |  2.3  | -2.2  |  4.0  | 10.0  | 10.0  | -8.2 |
|   汽车服务   | 000753 |  漳州发展  |  20.7%   |  0.5  |  0.8  |  2.4  | 10.0  |  0.0  | -5.4  | 10.1  |  1.6  |  3.1  | -3.0 |
|  汽车零部件  | 300893 |  松原股份  |  20.7%   | -4.3  | -1.4  | -2.7  |  0.5  |  3.6  |  0.1  | 13.4  |  2.5  | -1.1  | 9.7  |
|  汽车零部件  | 002715 |  登云股份  |  20.5%   |  0.6  | -2.1  | -1.6  |  2.9  |  1.0  | -3.8  | 10.0  | 10.0  | -6.5  | 10.0 |
|   有色金属   | 002996 |  顺博合金  |  20.4%   | -5.4  | -2.3  | -3.1  |  3.8  |  0.8  |  5.7  | 10.0  |  9.6  |  5.9  | -4.7 |
|   风电设备   | 600458 |  时代新材  |  20.3%   | -4.7  | -3.2  |  0.8  | 10.0  | -3.1  |  5.7  |  3.1  | 10.0  |  6.4  | -4.8 |
|  互联网服务  | 603869 |  新智认知  |  20.2%   |  0.4  | -0.8  | -1.7  |  1.8  | -0.5  | -1.8  |  2.1  | 10.0  | 10.0  | -0.1 |
|   通用设备   | 300990 |  同飞股份  |  20.2%   |  0.1  |  0.0  | -4.9  | 10.8  | 12.3  |  0.6  |  9.1  | -2.5  | -3.0  | -2.2 |
|   电子元件   | 301041 |   金百泽   |  20.0%   |-------+-------+-------+-------+-------+-------+-------+-------+-------+ 20.0 |
|   综合行业   | 000158 |  常山北明  |  20.0%   |  0.3  | -2.0  | -1.4  |  0.5  |  1.0  | -4.0  |  3.4  | 10.1  | 10.1  | 1.3  |
|     教育     | 300089 |  *ST文化   |  19.9%   |-------+-------+-------+-------+-------+-------+-------+-------+-------+ 19.9 |
|   医疗服务   | 002172 |  澳洋健康  |  19.8%   |  2.5  | -0.8  | -3.6  |  3.8  | -1.9  |  9.9  | 10.1  | -3.5  |  6.1  | -3.0 |
|  汽车零部件  | 605333 |  沪光股份  |  19.7%   | -4.5  |  3.8  | -4.5  | -0.7  | -1.3  | 10.0  | 10.0  | 10.0  |  3.0  | -5.9 |
|   化学制品   | 600160 |  巨化股份  |  19.6%   | -1.2  | -3.1  | -2.5  |  4.2  |  5.1  |  3.4  | 10.0  |  3.9  |  0.6  | -1.6 |
|   电源设备   | 002665 |  首航高科  |  18.9%   |  1.3  | -2.5  | -0.3  |  3.9  |  1.6  | -5.9  | 10.2  | -1.2  |  1.5  | 10.1 |
|   电网设备   | 603097 |  江苏华辰  |  18.7%   |  2.0  |  1.3  |  4.1  |  5.2  |  1.1  |  3.5  | 10.0  | -10.0 | -1.6  | 3.0  |
|   消费电子   | 301123 |  奕东电子  |  18.5%   |  0.6  | -2.9  | -3.0  |  1.3  |  1.9  |  4.3  |  1.8  | 12.8  |  4.4  | -3.1 |
|  光学光电子  | 002952 |  亚世光电  |  18.4%   |  2.0  |  0.2  |  0.4  | 10.0  | 10.0  | -0.8  |  2.5  | -3.8  | -2.0  | -0.5 |
|   专用设备   | 000821 |  京山轻机  |  18.3%   |  3.3  |  3.4  |  2.4  | -6.8  | -7.2  | 10.0  | 10.0  | -8.5  |  2.8  | 10.0 |
|   通用设备   | 301125 |  腾亚精工  |  18.2%   |  3.0  | -0.9  |  2.7  |  0.9  |  4.7  | 20.0  | -8.3  | -4.3  |  0.0  | 1.2  |
|   化学制药   | 600079 |  人福医药  |  18.2%   | -0.3  |  0.1  | -3.1  | -1.4  |  3.2  | 10.0  | -4.2  |  6.7  |  6.6  | 0.2  |
|   食品饮料   | 605198 |  德利股份  |  18.1%   | -1.0  |  2.5  |  1.5  |  5.4  |  1.5  |  2.4  | 10.0  | -6.2  |  2.3  | -0.7 |
|  互联网服务  | 600797 |  浙大网新  |  18.1%   | 10.0  |  0.0  |  1.3  |  0.0  |  0.3  | -3.5  |  1.3  |  9.9  |  0.7  | -2.5 |
|   家电行业   | 000521 |  长虹美菱  |  17.6%   |  4.5  |  5.5  |  2.6  |  3.2  | -7.6  | 10.0  | -5.3  | 10.1  | -1.9  | -3.0 |
|   装修装饰   | 002047 |  宝鹰股份  |  17.6%   | 10.0  |  0.5  | -4.4  | 10.0  | -8.6  | -1.3  |  1.8  | 10.1  | -1.1  | 1.2  |
|   软件开发   | 603990 |  麦迪科技  |  17.6%   | -0.8  |  2.0  | -3.9  |  0.3  |  3.0  | -3.1  |  4.2  | 10.0  | -1.6  | 7.0  |
|   化学制品   | 603379 |  三美股份  |  17.4%   | -0.0  | -4.0  | -0.6  |  1.1  |  2.1  |  2.4  |  4.6  | 10.0  | -0.2  | 1.4  |
|   化学制品   | 603217 |  元利科技  |  17.3%   | -3.5  | -0.8  | -3.4  | -0.3  |  1.3  | 10.0  | 10.0  |  1.0  | -0.6  | 3.4  |
